latitud,longitud,region,periodo,periodo_date
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7623704,-58.2665949,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.925041,-57.943956,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9165522687,-57.9589896148,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7467047533,-58.3646679381,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.807869,-58.425911,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.9279591818,-57.9421054799,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7400085036,-58.3402195481,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7149836,-58.4073699,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7149836,-58.4073699,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7149836,-58.4073699,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7611823,-58.4302476,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7332199579,-58.2979302747,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7748406,-58.3974085,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7551501,-58.3768156,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7097628,-58.3977663,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7451125928,-58.3948638987,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8571325104,-58.5064070352,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7337883629,-58.4205684869,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9326325,-57.9199258,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8903292791,-58.5603761571,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9242233314,-57.9562859482,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7636637,-58.4052833,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7421373,-58.3973682,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.931682,-57.926983,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.934154,-57.960144,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.913218,-57.981722,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.913218,-57.981722,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9093516449,-57.9450607926,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.930671,-57.963921,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.904586,-57.952035,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8909752,-58.5722485,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8909752,-58.5722485,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7625572915,-58.4049275469,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7624867797,-58.4049275469,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8909752,-58.5722485,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8326112,-58.4756551,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8903292791,-58.5603761571,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.923537,-57.944772,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.921496,-57.952112,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8963084,-58.5602963,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8903292791,-58.5603761571,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7421416023,-58.3921387743,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8963084,-58.5602963,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.906681,-57.974342,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8578068308,-58.5071382052,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
