latitud,longitud,region,periodo,periodo_date
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5026225613,-58.4949722711,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.508124,-58.492294,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5363728664,-58.7016795466,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5003122598,-58.6442031777,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4970782957,-58.4838938713,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5510170677,-58.7188743588,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5510170677,-58.7188743588,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5510435772,-58.718466663,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5511773,-58.7183885,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5380298,-58.7100446,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5511773,-58.7183885,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5520735,-58.6991628,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5638079,-58.6748644,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5519395,-58.703878,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5383023919,-58.7155690153,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5378456,-58.7181816,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5049285644,-58.4783668554,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.504681005,-58.4781522787,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5378456,-58.7181816,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5237543,-58.4907108,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5455902998,-58.5501766205,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5087833221,-58.4788818396,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4837197,-58.5886199,Capital Federal,02-2015,2015-02-01
-34.4837197,-58.5886199,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5157816,-58.564129,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4401397907,-58.8075208564,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5549011,-58.532312,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3919820002,-58.6520996011,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.39444543,-58.64888191,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4837197,-58.5886199,Capital Federal,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5864428,-58.5601455,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3948858504,-58.649288646,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3948858504,-58.649288646,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.39533073,-58.6502552,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5831155,-58.5359775,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5322819,-58.722689,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.39559174,-58.64731979,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5322819,-58.722689,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5609138,-58.5414591,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
