jurisdiccion,localidad,periodo,monto
Capital Federal,Villa Soldati,09-2020,90000
Capital Federal,Puerto Madero,09-2020,118250.00000000001
Capital Federal,San Telmo,09-2020,28534.768115942028
Capital Federal,Villa del Parque,09-2020,24715.094339622643
Bs.As. G.B.A. Zona Norte,Escobar,09-2020,16905.882352941175
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2020,26066.666666666668
Bs.As. G.B.A. Zona Norte,"",09-2020,19872
Capital Federal,Parque Avellaneda,09-2020,14000
Capital Federal,Monserrat,09-2020,27341.463414634145
Bs.As. G.B.A. Zona Oeste,Merlo,09-2020,16414.634146341465
Capital Federal,Catalinas,09-2020,25000
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2020,18441.7119205298
Capital Federal,Caballito,09-2020,27071.914893617024
Bs.As. G.B.A. Zona Sur,La Plata,09-2020,50104.709876543209
Capital Federal,Parque Centenario,09-2019,20766.666666666668
Capital Federal,Caballito,09-2019,17669.191919191922
Capital Federal,San Telmo,09-2019,17571.428571428576
Capital Federal,Tribunales,09-2019,16854.545454545456
Capital Federal,Puerto Madero,09-2019,47476.470588235294
Bs.As. G.B.A. Zona Sur,Presidente Perón,09-2019,16000
Bs.As. G.B.A. Zona Oeste,Moreno,09-2019,11752.083333333334
Capital Federal,Monserrat,09-2019,16464.516129032261
Bs.As. G.B.A. Zona Sur,La Plata,09-2019,11736.968085106384
Bs.As. G.B.A. Zona Norte,Escobar,09-2019,11252.941176470587
Capital Federal,Belgrano,09-2019,30709.999999999996
Capital Federal,Parque Patricios,09-2019,13605.263157894737
Capital Federal,Monte Castro,09-2019,12416.666666666666
Capital Federal,Parque Avellaneda,09-2019,14000
Capital Federal,Coghlan,09-2019,18187.500000000004
Bs.As. G.B.A. Zona Norte,San Isidro,09-2019,25315.948275862069
Capital Federal,Balvanera,09-2019,16804.255319148939
Capital Federal,Liniers,09-2019,13842.857142857143
Capital Federal,Centro / Microcentro,09-2019,16230.769230769232
Bs.As. G.B.A. Zona Norte,"",09-2019,11627.272727272728
Capital Federal,Villa Lugano,09-2019,12785.714285714286
Capital Federal,Villa Urquiza,09-2019,18932.233870967742
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2019,11452.888888888887
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,09-2019,10492
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,09-2019,11090.476190476191
Capital Federal,Versalles,09-2019,18300
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2019,14415.78947368421
Capital Federal,Recoleta,09-2019,30262.968749999996
Bs.As. G.B.A. Zona Norte,San Miguel,09-2019,10252.419354838708
Capital Federal,Villa del Parque,09-2019,14554.545454545454
Capital Federal,"",09-2019,18166.666666666668
Bs.As. G.B.A. Zona Norte,Pilar,09-2019,16122.429906542056
Bs.As. G.B.A. Zona Sur,Quilmes,09-2019,14682.758620689656
Capital Federal,Villa Devoto,09-2019,18835.135135135137
Capital Federal,Barracas,09-2019,20197.058823529413
Bs.As. G.B.A. Zona Oeste,Ituzaingó,09-2019,11956.249999999998
Capital Federal,Chacarita,09-2019,16778.571428571431
Bs.As. G.B.A. Zona Sur,Almirante Brown,09-2019,12053.571428571429
Bs.As. G.B.A. Zona Norte,Vicente López,09-2019,27390.449438202249
Capital Federal,Colegiales,09-2019,23164.705882352937
Capital Federal,Parque Chacabuco,09-2019,16078.947368421053
Capital Federal,Constitución,09-2019,13653.846153846152
Capital Federal,Floresta,09-2019,14312.820512820514
Capital Federal,Once,09-2019,17700
Capital Federal,Boedo,09-2019,15588.888888888889
Bs.As. G.B.A. Zona Norte,José C Paz,09-2019,8476.9230769230762
Capital Federal,Mataderos,09-2019,13000
Bs.As. G.B.A. Zona Oeste,Hurlingham,09-2019,10668.42105263158
Capital Federal,Boca,09-2019,25600
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,09-2019,10610.678571428572
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,09-2019,13744.73684210526
Capital Federal,Villa General Mitre,09-2019,15333.333333333334
Capital Federal,Villa Crespo,09-2019,18181.012658227846
Capital Federal,Abasto,09-2019,20763.157894736843
Capital Federal,Paternal,09-2019,15727.272727272726
Bs.As. G.B.A. Zona Oeste,Morón,09-2019,11412.056737588655
Capital Federal,Nuñez,09-2019,29172.393617021284
Capital Federal,Retiro,09-2019,25461.538461538457
Capital Federal,Las Cañitas,09-2019,29581.481481481478
Capital Federal,Villa Luro,09-2019,13415
Bs.As. G.B.A. Zona Sur,Berazategui,09-2019,10966.666666666666
Capital Federal,Almagro,09-2019,16819.078947368424
Bs.As. G.B.A. Zona Sur,San Vicente,09-2019,16500
Capital Federal,Villa Real,09-2019,18000
Bs.As. G.B.A. Zona Oeste,Merlo,09-2019,8958.3333333333339
Bs.As. G.B.A. Zona Norte,San Fernando,09-2019,21120.967741935488
Capital Federal,Velez Sarsfield,09-2019,9500
Capital Federal,Saavedra,09-2019,18450
Capital Federal,Flores,09-2019,15505.194805194807
Capital Federal,Congreso,09-2019,14840.90909090909
Bs.As. G.B.A. Zona Norte,Tigre,09-2019,24568.73239436619
Capital Federal,Agronomía,09-2019,13500
Capital Federal,Palermo,09-2019,31181.898454746137
Bs.As. G.B.A. Zona Oeste,General Rodríguez,09-2019,10909.09090909091
Capital Federal,Pompeya,09-2019,12000
Capital Federal,Villa Ortuzar,09-2019,21500
Capital Federal,Barrio Norte,09-2019,22883.035714285714
Capital Federal,Parque Chas,09-2019,13416.666666666666
Capital Federal,San Cristobal,09-2019,13706.896551724136
Capital Federal,Villa Santa Rita,09-2019,13833.333333333334
Capital Federal,Villa Pueyrredón,09-2019,14708
Bs.As. G.B.A. Zona Oeste,Marcos Paz,09-2019,6200
Capital Federal,San Nicolás,09-2019,16390.625
Bs.As. G.B.A. Zona Sur,Lanús,09-2019,11907.575757575756
Bs.As. G.B.A. Zona Norte,General San Martín,09-2019,12434.042553191486
Bs.As. G.B.A. Zona Sur,Avellaneda,09-2019,13896.53448275862
Capital Federal,Villa Lugano,09-2018,8725
Capital Federal,"",09-2018,10416.666666666666
Capital Federal,Nuñez,09-2018,19661.724137931036
Capital Federal,Belgrano,09-2018,20725.867507886433
Capital Federal,Paternal,09-2018,11275
Bs.As. G.B.A. Zona Oeste,Merlo,09-2018,7827.7777777777774
Capital Federal,Centro / Microcentro,09-2018,12785.714285714284
Capital Federal,Saavedra,09-2018,12246.666666666666
Capital Federal,Monserrat,09-2018,12776.923076923078
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2018,9088
Bs.As. G.B.A. Zona Norte,"",09-2018,12017.391304347828
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2018,8943.5572519083962
Capital Federal,Almagro,09-2018,13519.379844961242
Capital Federal,Villa del Parque,09-2018,11070.37037037037
Capital Federal,Villa Urquiza,09-2018,15031.932773109243
Bs.As. G.B.A. Zona Sur,Avellaneda,09-2018,9078.57142857143
Capital Federal,Parque Chacabuco,09-2018,12829.62962962963
Capital Federal,Parque Centenario,09-2018,11166.666666666666
Bs.As. G.B.A. Zona Sur,Berazategui,09-2018,12583.333333333334
Bs.As. G.B.A. Zona Norte,Vicente López,09-2018,21116.853932584265
Capital Federal,Parque Patricios,09-2018,10818.181818181818
Capital Federal,Flores,09-2018,10785.454545454546
Capital Federal,Constitución,09-2018,13000
Capital Federal,Mataderos,09-2018,13766.666666666666
Bs.As. G.B.A. Zona Oeste,Moreno,09-2018,7707.1428571428578
Bs.As. G.B.A. Zona Sur,La Plata,09-2018,9771.3114754098369
Capital Federal,Boca,09-2018,10000
Bs.As. G.B.A. Zona Sur,Almirante Brown,09-2018,10374.137931034482
Capital Federal,Barracas,09-2018,16575
Capital Federal,Pompeya,09-2018,9000
Capital Federal,San Nicolás,09-2018,12537.5
Capital Federal,Monte Castro,09-2018,11812.5
Bs.As. G.B.A. Zona Sur,Florencio Varela,09-2018,9000
Capital Federal,Villa Luro,09-2018,12880
Capital Federal,Velez Sarsfield,09-2018,13000
Capital Federal,San Telmo,09-2018,14963.636363636364
Bs.As. G.B.A. Zona Sur,Quilmes,09-2018,11422.641509433963
Bs.As. G.B.A. Zona Sur,Cañuelas,09-2018,9000
Capital Federal,Recoleta,09-2018,21215.09900990099
Bs.As. G.B.A. Zona Oeste,General Rodríguez,09-2018,8500
Capital Federal,Once,09-2018,12353.333333333332
Capital Federal,Boedo,09-2018,11905.555555555555
Bs.As. G.B.A. Zona Norte,Pilar,09-2018,11831
Bs.As. G.B.A. Zona Sur,Lanús,09-2018,8297.2972972972966
Capital Federal,Villa Pueyrredón,09-2018,12527.368421052632
Capital Federal,Villa Ortuzar,09-2018,11311.111111111111
Capital Federal,Villa Real,09-2018,9250
Bs.As. G.B.A. Zona Norte,Escobar,09-2018,9795.8333333333321
Capital Federal,Puerto Madero,09-2018,35899.999999999993
Capital Federal,Congreso,09-2018,13037.83783783784
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,09-2018,8046.1538461538466
Capital Federal,Balvanera,09-2018,12496
Bs.As. G.B.A. Zona Oeste,Hurlingham,09-2018,7423.5294117647063
Capital Federal,Liniers,09-2018,11894.117647058823
Capital Federal,Versalles,09-2018,13916.666666666666
Capital Federal,Tribunales,09-2018,11250
Capital Federal,Barrio Norte,09-2018,16192.99363057325
Bs.As. G.B.A. Zona Oeste,"",09-2018,8272.2222222222226
Bs.As. G.B.A. Zona Oeste,Marcos Paz,09-2018,6100
Capital Federal,Floresta,09-2018,9934.2857142857138
Bs.As. G.B.A. Zona Norte,San Miguel,09-2018,8958.6826347305414
Bs.As. G.B.A. Zona Sur,Presidente Perón,09-2018,4200
Capital Federal,Parque Chas,09-2018,11637.5
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,09-2018,10033.333333333332
Capital Federal,Chacarita,09-2018,12836.363636363636
Capital Federal,Coghlan,09-2018,17293.333333333332
Bs.As. G.B.A. Zona Norte,San Isidro,09-2018,18703.846153846152
Capital Federal,Villa Devoto,09-2018,13240.476190476193
Capital Federal,Colegiales,09-2018,14851.219512195123
Bs.As. G.B.A. Zona Oeste,Ituzaingó,09-2018,8081.4814814814818
Bs.As. G.B.A. Zona Norte,San Fernando,09-2018,15756.962025316456
Capital Federal,Palermo,09-2018,20939.290060851927
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,09-2018,9935.3146853146845
Capital Federal,Abasto,09-2018,11016.666666666666
Bs.As. G.B.A. Zona Norte,José C Paz,09-2018,7444.4444444444443
Capital Federal,San Cristobal,09-2018,12010.526315789473
Capital Federal,Agronomía,09-2018,9500
Bs.As. G.B.A. Zona Oeste,Morón,09-2018,8612.4074074074069
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,09-2018,7976.7883211678836
Capital Federal,Caballito,09-2018,13977.419354838708
Capital Federal,Retiro,09-2018,19333.333333333336
Capital Federal,Parque Avellaneda,09-2018,8533.3333333333339
Capital Federal,Catalinas,09-2018,22500
Bs.As. G.B.A. Zona Norte,General San Martín,09-2018,8755.102040816324
Bs.As. G.B.A. Zona Norte,Tigre,09-2018,19372.982608695656
Capital Federal,Villa Crespo,09-2018,13147.916666666666
Capital Federal,Villa General Mitre,09-2018,8266.6666666666661
Capital Federal,Villa Santa Rita,09-2018,12666.666666666666
Capital Federal,Las Cañitas,09-2018,31466.666666666668
Bs.As. G.B.A. Zona Sur,La Plata,09-2017,7395.454545454545
Capital Federal,Once,09-2017,7022.2222222222226
Capital Federal,Mataderos,09-2017,7600
Capital Federal,Paternal,09-2017,6075
Bs.As. G.B.A. Zona Norte,"",09-2017,10750
Bs.As. G.B.A. Zona Sur,Florencio Varela,09-2017,5200
Capital Federal,Congreso,09-2017,10646.666666666668
Capital Federal,Liniers,09-2017,9300
Bs.As. G.B.A. Zona Norte,San Isidro,09-2017,15084.390243902439
Bs.As. G.B.A. Zona Sur,Almirante Brown,09-2017,7669.2307692307695
Bs.As. G.B.A. Zona Oeste,Ituzaingó,09-2017,7724.9999999999991
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2017,6862.31884057971
Capital Federal,Villa Urquiza,09-2017,10459.23076923077
Capital Federal,Balvanera,09-2017,7700
Capital Federal,Parque Centenario,09-2017,11166.666666666666
Bs.As. G.B.A. Zona Oeste,"",09-2017,5000
Capital Federal,Villa Luro,09-2017,7985.7142857142853
Bs.As. G.B.A. Zona Norte,Vicente López,09-2017,15934.50292397661
Bs.As. G.B.A. Zona Norte,Tigre,09-2017,15243.313953488374
Capital Federal,Palermo,09-2017,15260.58510638298
Capital Federal,Monte Castro,09-2017,7450
Capital Federal,San Telmo,09-2017,13051.999999999998
Capital Federal,Villa del Parque,09-2017,7731.5789473684217
Capital Federal,Barracas,09-2017,11857.999999999998
Capital Federal,Villa Santa Rita,09-2017,6000
Capital Federal,Tribunales,09-2017,8860
Capital Federal,Villa General Mitre,09-2017,5150
Capital Federal,Velez Sarsfield,09-2017,6166.666666666667
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,09-2017,8108.695652173913
Capital Federal,Constitución,09-2017,6666.666666666667
Bs.As. G.B.A. Zona Oeste,Morón,09-2017,6480.46875
Capital Federal,Flores,09-2017,8226.1363636363621
Capital Federal,Boedo,09-2017,8125
Capital Federal,Parque Chacabuco,09-2017,7333.333333333333
Capital Federal,Villa Devoto,09-2017,10895.652173913044
Capital Federal,Centro / Microcentro,09-2017,10847.058823529413
Capital Federal,Nuñez,09-2017,15831.57894736842
Capital Federal,Las Cañitas,09-2017,11434.901960784313
Bs.As. G.B.A. Zona Oeste,Marcos Paz,09-2017,5475
Bs.As. G.B.A. Zona Sur,Berazategui,09-2017,5783.333333333333
Capital Federal,Recoleta,09-2017,17464.194594594603
Capital Federal,Villa Lugano,09-2017,7225
Capital Federal,Parque Patricios,09-2017,9240
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,09-2017,5876.63551401869
Bs.As. G.B.A. Zona Norte,General San Martín,09-2017,6865.4411764705874
Bs.As. G.B.A. Zona Norte,San Miguel,09-2017,6110.1351351351359
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2017,8950
Capital Federal,"",09-2017,11275
Capital Federal,Villa Pueyrredón,09-2017,7471.4285714285716
Capital Federal,Chacarita,09-2017,7150
Capital Federal,Colegiales,09-2017,12030.000000000002
Bs.As. G.B.A. Zona Norte,Escobar,09-2017,7026.6666666666661
Capital Federal,San Cristobal,09-2017,8779.4117647058847
Capital Federal,Almagro,09-2017,9185.7142857142862
Bs.As. G.B.A. Zona Oeste,Merlo,09-2017,5715.3846153846152
Capital Federal,Saavedra,09-2017,8045.454545454545
Capital Federal,Puerto Madero,09-2017,31247.272727272728
Capital Federal,Boca,09-2017,6271.4285714285716
Bs.As. G.B.A. Zona Norte,Pilar,09-2017,11452.197802197801
Bs.As. G.B.A. Zona Norte,José C Paz,09-2017,7150
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,09-2017,4433.333333333333
Capital Federal,Pompeya,09-2017,5000
Capital Federal,Barrio Norte,09-2017,13908.86524822695
Bs.As. G.B.A. Zona Sur,Quilmes,09-2017,7452.6315789473683
Bs.As. G.B.A. Zona Oeste,Moreno,09-2017,5178.5714285714284
Bs.As. G.B.A. Zona Oeste,Hurlingham,09-2017,5383.333333333333
Capital Federal,Coghlan,09-2017,8921.4285714285725
Capital Federal,Monserrat,09-2017,9630.7692307692323
Bs.As. G.B.A. Zona Sur,Cañuelas,09-2017,6500
Capital Federal,Versalles,09-2017,8250
Capital Federal,Abasto,09-2017,13127.272727272728
Capital Federal,Agronomía,09-2017,5900
Capital Federal,Caballito,09-2017,9898.1617647058811
Capital Federal,Belgrano,09-2017,15180.872146118718
Bs.As. G.B.A. Zona Sur,Lanús,09-2017,6605.454545454546
Bs.As. G.B.A. Zona Norte,San Fernando,09-2017,11698.275862068966
Capital Federal,Floresta,09-2017,7212.5
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,09-2017,7451.5734265734254
Bs.As. G.B.A. Zona Sur,Presidente Perón,09-2017,8000
Capital Federal,Villa Ortuzar,09-2017,14300
Capital Federal,San Nicolás,09-2017,10776.470588235294
Capital Federal,Villa Crespo,09-2017,9930.3571428571431
Capital Federal,Retiro,09-2017,18974.999999999996
Bs.As. G.B.A. Zona Sur,Avellaneda,09-2017,6675.8620689655163
Bs.As. G.B.A. Zona Oeste,Merlo,09-2016,6075
Bs.As. G.B.A. Zona Sur,Presidente Perón,09-2016,4000
Capital Federal,Villa Ortuzar,09-2016,10075
Capital Federal,Monserrat,09-2016,6225
Capital Federal,Parque Patricios,09-2016,5500
Capital Federal,Floresta,09-2016,6046.1538461538466
Bs.As. G.B.A. Zona Norte,"",09-2016,13140.384615384615
Bs.As. G.B.A. Zona Norte,General San Martín,09-2016,4963.6986301369861
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,09-2016,6214.5161290322576
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,09-2016,4350
Capital Federal,Puerto Madero,09-2016,23910
Capital Federal,Flores,09-2016,6409.090909090909
Bs.As. G.B.A. Zona Norte,Pilar,09-2016,7503.4482758620679
Bs.As. G.B.A. Zona Sur,Berazategui,09-2016,10500
Bs.As. G.B.A. Zona Oeste,Ituzaingó,09-2016,4861.5384615384619
Bs.As. G.B.A. Zona Sur,Lanús,09-2016,5113.1578947368416
Bs.As. G.B.A. Zona Oeste,Moreno,09-2016,4593.3333333333339
Capital Federal,Retiro,09-2016,10305.882352941175
Bs.As. G.B.A. Zona Norte,San Isidro,09-2016,13229.279279279277
Capital Federal,Barrio Norte,09-2016,11018.823529411766
Capital Federal,Boedo,09-2016,6085.7142857142862
Capital Federal,Agronomía,09-2016,10000
Capital Federal,Almagro,09-2016,6180.6122448979595
Capital Federal,Villa Santa Rita,09-2016,8500
Capital Federal,Parque Avellaneda,09-2016,4700
Capital Federal,Caballito,09-2016,8241.7910447761187
Capital Federal,Paternal,09-2016,4816.666666666667
Capital Federal,Abasto,09-2016,7800
Capital Federal,San Cristobal,09-2016,7327.7777777777774
Capital Federal,Barracas,09-2016,10680.952380952382
Capital Federal,Colegiales,09-2016,8603.7037037037044
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,09-2016,4030
Capital Federal,Coghlan,09-2016,6766.666666666667
Capital Federal,Chacarita,09-2016,6225
Capital Federal,Balvanera,09-2016,7920
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2016,6700
Capital Federal,Constitución,09-2016,4800
Bs.As. G.B.A. Zona Sur,Avellaneda,09-2016,4864.7058823529414
Capital Federal,Villa Real,09-2016,8500
Capital Federal,Boca,09-2016,6805
Capital Federal,Saavedra,09-2016,8777.2727272727261
Capital Federal,Liniers,09-2016,5733.333333333333
Capital Federal,Once,09-2016,5175
Capital Federal,Villa Luro,09-2016,6300
Capital Federal,Villa del Parque,09-2016,5727.272727272727
Capital Federal,"",09-2016,6966.6666666666661
Bs.As. G.B.A. Zona Norte,Tigre,09-2016,9671.4285714285688
Bs.As. G.B.A. Zona Norte,Escobar,09-2016,5550
Capital Federal,Villa Urquiza,09-2016,7155.5555555555557
Bs.As. G.B.A. Zona Norte,San Miguel,09-2016,5142.105263157895
Capital Federal,Villa Lugano,09-2016,5000
Capital Federal,Tribunales,09-2016,4750
Capital Federal,Las Cañitas,09-2016,13133.333333333334
Capital Federal,Belgrano,09-2016,10892.460317460318
Capital Federal,Monte Castro,09-2016,6700
Capital Federal,Mataderos,09-2016,5400
Capital Federal,Parque Centenario,09-2016,5875
Bs.As. G.B.A. Zona Norte,José C Paz,09-2016,5000
Bs.As. G.B.A. Zona Norte,Vicente López,09-2016,13709.705035971227
Capital Federal,San Telmo,09-2016,7643.7499999999991
Capital Federal,Nuñez,09-2016,9786
Capital Federal,Villa Pueyrredón,09-2016,7150
Capital Federal,Villa Devoto,09-2016,8046.1538461538466
Capital Federal,San Nicolás,09-2016,9693.75
Capital Federal,Parque Chas,09-2016,4833.333333333333
Capital Federal,Villa Crespo,09-2016,6943.478260869565
Capital Federal,Recoleta,09-2016,12666.40625
Bs.As. G.B.A. Zona Sur,Quilmes,09-2016,6170.5
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,09-2016,4580.909090909091
Bs.As. G.B.A. Zona Sur,La Plata,09-2016,5962.5
Capital Federal,Velez Sarsfield,09-2016,5100
Bs.As. G.B.A. Zona Oeste,Hurlingham,09-2016,4144.4444444444443
Capital Federal,Congreso,09-2016,6153.8461538461534
Bs.As. G.B.A. Zona Norte,San Fernando,09-2016,8553.57142857143
Capital Federal,Palermo,09-2016,13081.990521327014
Bs.As. G.B.A. Zona Sur,Florencio Varela,09-2016,3800
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2016,5167.391304347826
Capital Federal,Centro / Microcentro,09-2016,7887.5000000000009
Capital Federal,Parque Chacabuco,09-2016,11000
Bs.As. G.B.A. Zona Oeste,Morón,09-2016,5066.6666666666661
Bs.As. G.B.A. Zona Sur,Almirante Brown,09-2016,5840.7407407407409
Capital Federal,Villa General Mitre,09-2016,6766.666666666667
Capital Federal,Paternal,09-2015,4250
Capital Federal,Villa Devoto,09-2015,5053.5714285714294
Capital Federal,San Telmo,09-2015,5257.894736842105
Capital Federal,Liniers,09-2015,5040
Bs.As. G.B.A. Zona Sur,Quilmes,09-2015,4461.5384615384619
Capital Federal,Agronomía,09-2015,5900
Capital Federal,San Cristobal,09-2015,4530
Capital Federal,Barracas,09-2015,6300
Bs.As. G.B.A. Zona Sur,La Plata,09-2015,4246.666666666667
Capital Federal,Balvanera,09-2015,7442.5925925925922
Capital Federal,Villa Ortuzar,09-2015,10300
Capital Federal,Villa General Mitre,09-2015,4106.25
Bs.As. G.B.A. Zona Norte,San Fernando,09-2015,8591.6666666666661
Capital Federal,Catalinas,09-2015,4500
Bs.As. G.B.A. Zona Norte,Vicente López,09-2015,10509.405940594059
Capital Federal,Pompeya,09-2015,4500
Bs.As. G.B.A. Zona Norte,San Isidro,09-2015,7717.241379310346
Capital Federal,Almagro,09-2015,6706.060606060606
Bs.As. G.B.A. Zona Norte,Escobar,09-2015,4900
Bs.As. G.B.A. Zona Sur,Florencio Varela,09-2015,4900
Capital Federal,Boedo,09-2015,4446.1538461538457
Capital Federal,Barrio Norte,09-2015,7208.5526315789484
Bs.As. G.B.A. Zona Sur,Berazategui,09-2015,3900
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,09-2015,4033.3333333333335
Bs.As. G.B.A. Zona Sur,Avellaneda,09-2015,3583.3333333333335
Bs.As. G.B.A. Zona Oeste,Hurlingham,09-2015,3066.6666666666665
Capital Federal,Puerto Madero,09-2015,19925
Bs.As. G.B.A. Zona Sur,Ezeiza,09-2015,5575
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,09-2015,3865.151515151515
Capital Federal,Mataderos,09-2015,3700
Bs.As. G.B.A. Zona Norte,San Miguel,09-2015,3828.0701754385968
Bs.As. G.B.A. Zona Oeste,Morón,09-2015,4058.3333333333339
Capital Federal,Once,09-2015,5630
Bs.As. G.B.A. Zona Oeste,La Matanza,09-2015,4202.916666666667
Capital Federal,Monte Castro,09-2015,4400
Capital Federal,Villa Luro,09-2015,4566.666666666667
Bs.As. G.B.A. Zona Oeste,Marcos Paz,09-2015,3000
Capital Federal,Villa del Parque,09-2015,4684.375
Capital Federal,Villa Real,09-2015,3800
Capital Federal,Las Cañitas,09-2015,8809.09090909091
Capital Federal,Constitución,09-2015,4340
Bs.As. G.B.A. Zona Norte,"",09-2015,5426.2295081967222
Capital Federal,Tribunales,09-2015,3133.3333333333335
Capital Federal,Colegiales,09-2015,9072.5
Capital Federal,Parque Chacabuco,09-2015,4354.545454545455
Capital Federal,Floresta,09-2015,5712.5
Capital Federal,Retiro,09-2015,9700
Capital Federal,Villa Pueyrredón,09-2015,5300
Capital Federal,Parque Centenario,09-2015,7042.8571428571431
Capital Federal,Palermo,09-2015,10644.614213197969
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,09-2015,3757.1428571428573
Capital Federal,Saavedra,09-2015,6838.8888888888887
Bs.As. G.B.A. Zona Sur,Lanús,09-2015,4051.9999999999995
Capital Federal,Belgrano,09-2015,11745.12
Capital Federal,Villa Crespo,09-2015,6815.6756756756749
Bs.As. G.B.A. Zona Oeste,Ituzaingó,09-2015,4220
Capital Federal,Villa Lugano,09-2015,4380
Capital Federal,Parque Patricios,09-2015,4466.6666666666661
Capital Federal,Congreso,09-2015,3549.9999999999995
Capital Federal,Velez Sarsfield,09-2015,4416.666666666667
Capital Federal,Abasto,09-2015,23140
Bs.As. G.B.A. Zona Norte,General San Martín,09-2015,3652.8985507246375
Capital Federal,Distrito Audiovisual,09-2015,9500
Capital Federal,Distrito de las Artes,09-2015,3200
Capital Federal,Villa Urquiza,09-2015,5165.5172413793107
Capital Federal,"",09-2015,5420
Capital Federal,Caballito,09-2015,6263.2812499999991
Capital Federal,Villa Santa Rita,09-2015,5000
Bs.As. G.B.A. Zona Norte,Tigre,09-2015,8718.98148148148
Capital Federal,San Nicolás,09-2015,5992.3076923076924
Bs.As. G.B.A. Zona Sur,Almirante Brown,09-2015,3515.7894736842109
Capital Federal,Monserrat,09-2015,7566.6666666666661
Capital Federal,Centro / Microcentro,09-2015,3863.6363636363635
Capital Federal,Nuñez,09-2015,8506.3829787234063
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,09-2015,6250
Capital Federal,Flores,09-2015,5676
Capital Federal,Chacarita,09-2015,3950
Bs.As. G.B.A. Zona Oeste,Merlo,09-2015,1966.6666666666667
Capital Federal,Boca,09-2015,4683.333333333333
Bs.As. G.B.A. Zona Norte,Pilar,09-2015,4349.1525423728817
Capital Federal,Coghlan,09-2015,6466.666666666667
Bs.As. G.B.A. Zona Oeste,Moreno,09-2015,4700
Capital Federal,Recoleta,09-2015,8184.6153846153848
Capital Federal,Parque Chacabuco,08-2021,40103.448275862072
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,08-2021,24750.000000000004
Capital Federal,Villa Urquiza,08-2021,44615.286624203829
Bs.As. G.B.A. Zona Oeste,General Rodríguez,08-2021,16500
Capital Federal,Barracas,08-2021,38557.142857142862
Capital Federal,Once,08-2021,39700
Capital Federal,Coghlan,08-2021,53472.222222222219
Capital Federal,Boca,08-2021,26083.333333333336
Capital Federal,Villa Lugano,08-2021,29142.857142857141
Capital Federal,Nuñez,08-2021,49552.631578947374
Capital Federal,Villa Pueyrredón,08-2021,37825.71428571429
Bs.As. G.B.A. Zona Oeste,Ituzaingó,08-2021,28857.142857142859
Bs.As. G.B.A. Zona Norte,San Isidro,08-2021,65938.8888888889
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,08-2021,32211.111111111109
Capital Federal,Chacarita,08-2021,35105.263157894733
Capital Federal,Congreso,08-2021,31849.999999999996
Bs.As. G.B.A. Zona Sur,Quilmes,08-2021,35162.5
Capital Federal,Caballito,08-2021,44874.657534246566
Bs.As. G.B.A. Zona Sur,Lanús,08-2021,28750.72463768116
Capital Federal,Balvanera,08-2021,30985
Capital Federal,San Nicolás,08-2021,32197.183098591551
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,08-2021,30158.3850931677
Capital Federal,Parque Patricios,08-2021,31205.882352941175
Bs.As. G.B.A. Zona Norte,Tigre,08-2021,76053.57142857142
Capital Federal,Pompeya,08-2021,24000
Capital Federal,Constitución,08-2021,31100
Capital Federal,"",08-2021,30375
Capital Federal,San Telmo,08-2021,33836.538461538468
Capital Federal,Tribunales,08-2021,42125
Bs.As. G.B.A. Zona Sur,Berazategui,08-2021,35588.235294117643
Capital Federal,Colegiales,08-2021,43867.647058823524
Capital Federal,Villa Santa Rita,08-2021,30400
Bs.As. G.B.A. Zona Oeste,Hurlingham,08-2021,19500
