jurisdiccion,periodo,monto
Bs.As. G.B.A. Zona Oeste,07-2015,3826.2114537444941
Capital Federal,07-2015,8352.0584737363733
Bs.As. G.B.A. Zona Sur,06-2021,32014.585365853665
Bs.As. G.B.A. Zona Oeste,06-2021,24621.174652241116
Capital Federal,06-2021,45249.338280766839
Bs.As. G.B.A. Zona Norte,06-2021,46263.084702907719
Bs.As. G.B.A. Zona Sur,06-2020,22447.878787878792
Bs.As. G.B.A. Zona Norte,06-2020,26557.562277580069
Capital Federal,06-2020,32750.956764705887
Bs.As. G.B.A. Zona Oeste,06-2020,14095.114942528735
Bs.As. G.B.A. Zona Norte,06-2019,18961.037234042553
Bs.As. G.B.A. Zona Sur,06-2019,11683.56807511737
Capital Federal,06-2019,22337.050154586046
Bs.As. G.B.A. Zona Oeste,06-2019,10283.036935704517
Capital Federal,06-2018,15019.577801570311
Bs.As. G.B.A. Zona Norte,06-2018,14950.639200000003
Bs.As. G.B.A. Zona Sur,06-2018,9178.3940594059422
Bs.As. G.B.A. Zona Oeste,06-2018,8019.5732838589993
Bs.As. G.B.A. Zona Sur,06-2017,7077.5700934579427
Bs.As. G.B.A. Zona Norte,06-2017,11766.360869565218
Bs.As. G.B.A. Zona Oeste,06-2017,6076.0942760942753
Capital Federal,06-2017,12512.498883928571
Bs.As. G.B.A. Zona Sur,06-2016,5637.0202020202014
Capital Federal,06-2016,9992.4839228295823
Bs.As. G.B.A. Zona Norte,06-2016,10088.231974921631
Bs.As. G.B.A. Zona Oeste,06-2016,5064.8725212464587
Bs.As. G.B.A. Zona Norte,06-2015,6995.4478707782673
Bs.As. G.B.A. Zona Sur,06-2015,4393.4126984126988
Capital Federal,06-2015,7919.0021008403346
Bs.As. G.B.A. Zona Oeste,06-2015,3487.0253164556966
Bs.As. G.B.A. Zona Sur,05-2021,41492.323366555924
Bs.As. G.B.A. Zona Norte,05-2021,48065.99598393574
Bs.As. G.B.A. Zona Oeste,05-2021,22852.545454545452
Capital Federal,05-2021,45263.285714285717
Bs.As. G.B.A. Zona Sur,05-2020,16588.419388830349
Bs.As. G.B.A. Zona Oeste,05-2020,13218.312757201646
Bs.As. G.B.A. Zona Norte,05-2020,27818.5297691373
Capital Federal,05-2020,29957.552372808888
Bs.As. G.B.A. Zona Norte,05-2019,19681.646992692524
Capital Federal,05-2019,19991.864985636774
Bs.As. G.B.A. Zona Oeste,05-2019,10139.058355437664
Bs.As. G.B.A. Zona Sur,05-2019,11763.780120481926
Bs.As. G.B.A. Zona Sur,05-2018,8645.5375253549682
Bs.As. G.B.A. Zona Norte,05-2018,13929.599627560519
Capital Federal,05-2018,15311.308673469388
Bs.As. G.B.A. Zona Oeste,05-2018,7801.6950998185121
Bs.As. G.B.A. Zona Norte,05-2017,11454.20367936925
Bs.As. G.B.A. Zona Oeste,05-2017,5983.3333333333321
Bs.As. G.B.A. Zona Sur,05-2017,7716.7595818815334
Capital Federal,05-2017,12413.559478544266
Capital Federal,05-2016,9689.2562704471111
Bs.As. G.B.A. Zona Oeste,05-2016,4843.734939759036
Bs.As. G.B.A. Zona Norte,05-2016,9264.7163814180931
Bs.As. G.B.A. Zona Sur,05-2016,5484.3949044585988
Bs.As. G.B.A. Zona Oeste,05-2015,4982.0874316939889
Capital Federal,05-2015,8826.23436322532
Bs.As. G.B.A. Zona Sur,05-2015,4359.3499999999995
Bs.As. G.B.A. Zona Norte,05-2015,6826.152832674572
